project_name,year,PRCPTOT,RX1day,RX5day,RX7day,SDII,R10mm,R20mm,R25mm,R30mm,R100mm,CDD,CWD,R95p,R99p
chilla,1973,1065.8294730186462,53.768104553222656,144.69555854797363,160.14159202575684,8.26224397688873,33,14,9,5,0,68,97,203.00557708740234,0.0
chilla,1974,696.0129864215851,44.39913558959961,110.66096591949463,160.392596244812,7.565358548060708,21,8,5,4,0,61,39,145.42897605895996,0.0
chilla,1975,1135.204161643982,54.39085388183594,136.57738590240479,167.04812335968018,9.95793124249107,38,17,8,7,0,67,20,286.7280731201172,0.0
chilla,1976,863.074528336525,75.85090637207031,163.85605430603027,174.25811290740967,8.066117087257243,29,5,4,3,0,84,45,184.94134140014648,135.0826072692871
chilla,1977,1061.0669615268707,40.40927505493164,111.10111618041992,143.3593578338623,8.038386072173264,36,11,5,4,0,82,58,106.64637756347656,0.0
chilla,1978,1592.893199801445,114.5959930419922,231.73436814546585,235.75344735383987,13.385657141188613,47,20,18,14,1,42,33,721.6994781494141,375.15288162231445
chilla,1979,752.11159491539,39.36037063598633,132.65724086761475,153.87976741790771,8.175126031689022,23,7,6,5,0,76,17,180.43576431274414,0.0
chilla,1980,922.5737646818161,50.44834518432617,105.96327590942383,131.17588901519775,7.688114705681801,28,8,4,3,0,58,59,118.89826965332031,0.0
dehar,1961,1363.7656477689743,49.188812255859375,155.9457025527954,168.2429497241974,9.340860601157358,44,17,9,8,0,34,83,339.3971691131592,49.188812255859375
dehar,1962,1091.646296620369,69.3961181640625,150.27450013160706,171.97322344779968,6.273829290921661,28,5,2,2,0,33,50,121.1352653503418,121.1352653503418
dehar,1963,1202.6647124290466,43.71013259887695,138.4069309234619,163.62201499938965,8.237429537185252,41,13,9,4,0,41,30,243.71838569641113,0.0
dehar,1964,1140.7547986507416,55.508548736572266,138.57435607910156,171.72628116607666,9.126038389205933,37,12,10,4,0,70,35,350.81114768981934,55.508548736572266
dehar,1965,840.4457144737244,31.09800338745117,86.55593585968018,104.25113344192505,6.945832351022515,27,6,3,1,0,39,23,86.92291450500488,0.0
dehar,1966,1092.3485641479492,56.651180267333984,139.71393299102783,155.03283023834229,8.95367675531106,43,13,7,5,0,42,38,249.55671501159668,56.651180267333984
