project_name,cost_overrun_pct,dam_height,installed_cap,initial_cost,planned_dur,actual_dur,schedule_overrun_pct,catchment_area_sq_km,catchment_radius_km,elev_mean_m,elev_range_m,slope_mean_deg,slope_max_deg,slope_std_deg,steep_frac_25,aspect_circ_std,dist_road,forest_area_div,landowner_displaced,pop_density_district,st_pop_fraction,worker_ratio,tourism_pressure_score,dist_to_nearest_pilgrim_km,dist_to_nearest_resort_km,PRCPTOT_mean,PRCPTOT_max,R10mm_mean,RX1day_max,RX5day_max,RX7day_mean,RX7day_max,R95p_mean,R99p_mean,R30mm_mean,R30mm_total,R100mm_mean,R100mm_total,CDD_mean,CWD_mean,SDII_mean,glof_composite_score,glof_lake_count_50km,seismic_zone_score,glof_risk_score,project_scale_score,is_uttarakhand,contract_IR,contract_EPC,cost_per_mw
Naitwar Mori,61.669606114050566,30.5,60.0,680.4,4.0,6.0,50.0,1768,23.722813466638858,2418.153092209548,3693,29.60881359594856,80.06633758544922,11.075267976953883,0.6546735367710153,2.2750833315717207,5.0,45.0,12.0,330086.0,0.0106396514847645,0.4764697684845767,0.5582,39.37,66.91,1124.451332773481,1464.2546812295914,38.71428571428572,95.75325775146484,335.743709564209,165.39485830600773,352.87232732772827,267.0493368421282,94.78077806745256,5.857142857142857,41,0.0,0,44.57142857142857,16.142857142857142,9.575983164380965,0.4439351507579718,57,0.0,0.0,1.0,1.0,0.0,1.0,11.34
Lata Tapovan,41.52602484453249,35.0,171.0,1766.459563,5.0,10.0,100.0,3350,32.654833007009834,3971.212665089682,6778,33.48532049636105,82.06742858886719,14.0560291413625,0.7207917787371473,2.689765914637331,2.0,46.0,10.0,391605.0,0.0313070568557602,0.4620472159446381,0.461,24.86,124.74,1629.3691557645798,1960.9372022151947,56.55555555555556,129.94387817382812,247.59222030639648,205.18775860468543,286.7744827270508,547.2818012237549,172.48266050550671,11.444444444444445,103,0.2222222222222222,2,46.0,33.55555555555556,11.776459395614692,0.8781985579293247,129,1.0,2.0,1.0,1.0,0.0,1.0,10.330172883040936
Lakhwar,28.96645337271398,204.0,300.0,4456.1976,6.0,10.0,66.66666666666666,2912,30.44533443020784,1211.0970782432698,2640,20.825882272506824,79.54830932617188,13.94126884049205,0.4376277870571793,2.409727104736721,1.0,768.0,200.0,1696694.0,0.0658121028305634,0.3434726591830937,0.5813,75.24,15.56,1620.4751234203577,1995.0140351057053,50.5,133.5799560546875,449.5363578796387,251.5406672256068,492.4529809951782,447.1881408691406,214.7482023239136,14.5,116,0.625,5,58.125,22.375,13.718319044932208,0.1246748556504941,0,0.0,0.0,2.0,1.0,0.0,1.0,14.853992000000002
Kishau,13.20754716981132,236.0,660.0,10600.0,8.0,10.0,25.0,4595,38.244397328426,1362.9308314424377,3016,23.825861739428667,79.54830932617188,13.448263891926258,0.5169502269624648,2.657843088729119,10.0,2000.0,500.0,330086.0,0.0106396514847645,0.4764697684845767,0.5448,75.26,30.91,1510.0971673556735,1940.4182710647583,48.142857142857146,132.01255798339844,444.4803199768066,234.5494503378868,484.25615406036377,367.8915955679757,148.2571258544922,10.714285714285714,75,0.4285714285714285,3,51.42857142857143,28.285714285714285,12.255095834408896,0.1296835250265487,0,0.0,0.0,2.0,1.0,0.0,1.0,16.060606060606062
Phata Byung,57.82898871195828,26.0,76.0,506.877733,5.0,12.0,140.0,1125,18.9234939151512,2477.310814232658,4014,30.080774639922424,78.50593566894531,11.338271345109773,0.658216161194279,2.534839377687495,1.0,25.0,5.0,242285.0,0.0015931650741894,0.4665249602740574,0.7486,19.45,94.08,1190.0951304336388,1411.091129541397,39.41666666666666,106.87744903564452,266.3366198539734,155.40939256797233,290.8861413002014,296.3839615186056,68.21955172220866,7.083333333333333,85,0.0833333333333333,1,55.75,21.916666666666668,9.9840635707356,0.6280183317443924,90,1.0,1.0,1.0,1.0,0.0,1.0,6.669443855263157
Chibro,114.33470507544584,59.25,240.0,233.28,6.0,10.0,66.66666666666666,4775,38.98627587405086,1179.287563235918,2743,21.15710208928488,79.54830932617188,13.960254812519908,0.4359591156748825,2.4509405332057903,5.0,100.0,100.0,1696694.0,0.0658121028305634,0.3434726591830937,0.5366,81.39,27.26,1456.805063843727,2061.529272437096,45.36363636363637,152.95191955566406,428.96543884277344,256.2898435104977,523.6848411560059,444.8977851867676,182.3447113037109,11.818181818181818,130,0.1818181818181818,2,62.18181818181818,27.727272727272727,13.251913034508844,0.4129745493928896,0,0.0,2.0,1.0,1.0,1.0,0.0,0.972
Khodri,157.201646090535,0.0,120.0,116.64,4.0,8.0,100.0,18040,75.77803340517346,1152.7466509108522,4131,18.06645954042116,80.06633758544922,14.501875087812754,0.3622736390049622,2.600795016487073,5.0,50.0,20.0,1696694.0,0.0658121028305634,0.3434726591830937,0.5255,85.84,26.78,1142.0557596551048,1471.9125527143478,38.0,71.273681640625,219.369215965271,184.3698560926649,247.3238105773925,256.3317805396186,40.73210906982422,6.0,54,0.0,0,62.888888888888886,43.66666666666666,8.80921975289724,0.1012727850580315,0,0.0,0.0,1.0,1.0,1.0,0.0,0.972
chilla,551.7333333333335,7.0,144.0,15.0,6.0,7.0,16.666666666666664,23100,85.74939283076915,771.4708996875851,2969,13.286215743453871,79.50672149658203,13.712314024535202,0.2472014835403644,2.7138604544965967,1.0,0.0,0.0,437903.0,0.0313070568557602,0.5293866168720286,0.5687,117.42,56.31,1011.0958337932824,1592.893199801445,31.875,114.5959930419922,231.73436814546585,165.7511107698083,235.75344735383987,243.47298216819763,63.7794361114502,5.625,45,0.125,1,67.25,46.0,8.892366850678807,0.0616018625492041,0,0.5,0.0,1.0,1.0,1.0,0.0,0.10416666666666667
vishnuprayag,146.70710571923743,28.0,400.0,1154.0,7.0,9.0,28.57142857142857,7090,47.50596902540855,3917.936893639161,7057,31.63190940435815,82.06742858886719,14.109623403233044,0.6748961783511794,2.7299524221683185,0.0,80.0,50.0,391605.0,0.0313070568557602,0.4620472159446381,0.6664,17.77,130.69,1058.217232656479,1383.332673788071,34.9,73.98709869384766,133.77006149291992,122.96139848232268,154.09412240982056,183.4600799560547,55.59611854553223,3.1,31,0.0,0,43.3,29.3,7.657800895340486,0.8980518665427567,149,1.0,2.0,1.0,1.0,0.0,0.0,2.885
maneri_bhali_I,317.57894736842104,39.0,90.0,19.0,7.0,11.0,57.14285714285714,4693,38.65007497871808,2464.9370243324565,5713,28.96173539862724,84.60252380371094,10.988460513381636,0.6394122201525952,2.5040220859288587,0.0,10.0,100.0,330086.0,0.0106396514847645,0.4764697684845767,0.6282,30.48,47.67,1460.0226360559464,2279.1385164260864,51.41666666666666,107.10066223144533,251.00884628295896,188.4838552474976,313.0628929138184,271.1126073201497,111.93597094217937,8.0,96,0.1666666666666666,2,56.75,43.75,10.528191750689208,0.319309395919516,35,1.0,0.0,1.0,1.0,1.0,0.0,0.2111111111111111
